Uncategorized list:,categorized
CL,Casual Leave
CL-15:00,Casual Leave
CL08:00-,Casual Leave
CLWO,Casual Leave
CLxNO,Casual Leave
SL/CL,Casual Leave
CMPL,Compensatory OFF
CO,Compensatory OFF
SKAL PR WORK,General Duty
LOP,Leave Without Pay
LWP,Leave Without Pay
LWPWO,Leave Without Pay
OH,Optional Holiday
PH,Public Holiday
CHSB-01 DEPOT,RRTS Stand by Duty
CHSB-02 GHAZ,RRTS Stand by Duty
CHSB-03 GHAZ,RRTS Stand by Duty
SL,Sick Leave
xNO,Weekly Off
MH2,MRTS Stand by Duty
DUHD REFRESHER TRAINING,Refresher Training
